name,description
Становление охотника,"Главный герой ничем не отличался от большинства граждан России. Он пил пиво, проводил время с друзьями и играл иногда в компьютерные игры. Закончив ПТУ и откосив от армии, молодой человек работал на стройке. Потом с помощью знакомого сумел купить автомобиль и начал на нём зарабатывать сбором цветного металла. Однажды его напарник нашёл заброшенную котельную с почти целым оборудованием. Разбирая его, главный герой получил удар током."
Другой мир: артефактор,"Когда-то он был простым неудачником на Земле. Женщины его не любили, а он всегда защищал их. В результате парня просто убили, ведь его жёнушке понадобилась его квартира, а жалкий инвалид был для неё просто обузой. Но такой расклад не понравился тем, кто может распоряжаться судьбами людей, в результате главного героя отправили в мир магии. Здесь мужчина возродился в новом теле."
"Попал, так попал. Гексалогия","В другом мире появляются совсем другие проблемы, ситуации. Одно дело, что ты не можешь узнать места, окружающие тебя, откуда-то в твоей жизни появляются артефакты, боги, принцы…"
Идиот,"Князь Мышкин едет к себе на родину после того, как долгое время проходил лечение в швейцарском санатории. Он безуспешно пытался избавиться от эпилепсии. Этот человек добрый, искренний и открытый, он всех любит и всем сочувствует, доверяет. В дороге он знакомится с купцом Рогожиным, между ними складываются хорошие отношения. Мышкин узнает от собеседника, что тот влюблён в некую Настасью Филипповну, бывшую содержанку Тоцкого. По приезде домой, князь слышит об этой даме и даже имеет возможность с ней познакомиться. Девушку планируется выдать замуж за посредственного, но амбициозного человека. Впоследствии ключевые личности оказываются в одном кругу, и дело принимает неожиданный и трагичный оборот."
Студент,"Когда-то он погиб в нашем мире по злой воле своей собственной жены. Ей и её дружкам понадобилась квартира парня, который из-за своей первой любви стал инвалидом. Главному герою повезло, и он возродился в другом мире. Это мир магии, и здесь живут волшебные существа и представители различных рас, в том числе и эльфов. Аллин, а так теперь зовут попаданца, – отпрыск знатного, но обедневшего рода."
Дорогой древних,"Сергей обычный земной человек. Однажды он отправляется в отпуск. После обеда в кафе он идет на прогулку в ближайший лес и обнаруживает там странный металлический цилиндр. Сергей случайно активирует его и оказывается в космосе, на космической станции инопланетян. Древняя сущность по имени Тэк'радок – смотритель этой станции. Его задача – наблюдение за примитивной формой жизни Н'эк Раш, или землянами. Тэк'радок отправляет Сергея к представителям его расы – гуманоидам, снабдив вещами на продажу на первое время."
Следующие 100 лет - Прогноз событий XXI века,"В книгу автор делится с читателями своим, достаточно провокационным, прогнозом тех изменений, которые может ожидать мир в двадцать первом веке. Согласно ему, теперешнее временное ослабление Америки лишь кажущееся, потому что её мощь настолько велика, что уничтожить её не представляется возможным. Фридман заявляет своим читателям о том, что конец двадцать первого столетия – это пик силы и мощи США. При этом безвольную и утратившую вкус к битвам Европу ждёт постепенное забвение. Рост же экономики и военной мощи Китая представляет собой лишь временное явление, которое вскоре сменится на свою противоположность."
Отдельный танковый,"В наши дни он был простым водителем. Жил обычной жизнью и звёзд с неба не хватал. Мужчина всегда мечтал о большем, и вот однажды произошёл несчастный случай, изменивший всё. Дело в том, что главный герой попал в ДТП, в котором погиб. При этом благодаря случаю он совсем не умер, а возродился в прошлом в другом теле. На дворе стоит июнь 1941 года, РККА ведёт ожесточённые бои с превосходящими их по силам германскими войсками."
Пес войны. Трилогия.,"Зовут его Араб. Это позывной, кличка и еще много чего одновременно. Специализируется Араб на проведении диверсий и ликвидации неугодных заказчику личностей. Обычно работает в паре с агентом Салли Кларк. Однажды шеф вызывает Араба к себе в кабинет и ставит перед ним практически невыполнимое задание. Он должен доставить молодого профессора разнообразных наук на один остров в Тихом океане. И профессор – женщина. Она имеет прекрасные знания и скверный характер, и ей категорически не нравятся мужчины."
"Тайны академии драконов, или Ведьма под прикрытием","Элина виа Ливероль – ведьма. Она молода, красива и бесшабашна. Из-за своего характера она постоянно встревает в различные истории. На этот раз она умудрилась вступить в конфликт с дроу, и не самым простым. Дроу не дружат с другими расами этого магического мира, поэтому им нет хода в Запретный лес. А ведь он растёт прямо на границе ковена восточных ведьм. Судьба привела сюда Элину в поисках Лироцвета. Это очень редкое растение, обладающее уникальными целебными свойствами."
Робинзон Крузо,"Писатель рассказывает историю о молодом человеке, который всегда мечтал путешествовать по морю. Отец Робинзона Крузо был против, полагая, что это слишком опасно, но тот его не слушал. Он шёл за своей мечтой. Даже первое не совсем удачное плавание не умерило его пыл."
Рейдер,"Николай когда-то жил на Земле и был среднестатистическим обывателем. Благодаря случайности он попал в космос. Пройдя череду приключений, он обосновался в новом для себя мире. Теперь его зовут Фил Никол, и он известен как опытный наемник на всей территории Звездного Содружества. Его боятся враги, уважает начальство и любят друзья."
Oбещанная демoну. Огненная академия,"Талайна живёт в магическом мире, в который открыты порталы из других миров. Раз в сорок лет они открываются, и в этот мир могут проникнуть обитатели иных вселенных. Тали уже вступила в тот возраст, при котором нужно думать о замужестве. Однако её семье не нравится её возлюбленный Джейс Халвит. По мнению её отца, он слишком беден для дочери благородного семейства Антилис. Джейс ещё даже не окончил Академию магии и не является магом."
Библия,"В этом издании помещены канонические варианты Священного Писания. Это Ветхий и Новый Завет. Перевод Синодальный, 1876 год. Перед изданием его сверили для устранения неточностей и ошибок с текстом Ветхого Завета, написанного на еврейском языке, а Нового – с греческим вариантом. Сделано это было для того, чтобы исправить предыдущие издания Библии. Кроме того, издатель также подготовил параллельные места и приложение. Они позволяют лучше понять смысл публикуемого им текста."
Пересекающиеся параллели,"Желание помочь близкому человеку может привести к непредсказуемым последствиям. Например, всё может начаться как увлекательное приключение. Но потом… Сто раз пожалеешь. Помогать приходится практически против воли, попутно выясняются новые детали, в дело вступают эмоции и противоречия, характер и обстоятельства. И кто победит в этой борьбе?"
Запах золота,"Марк Гирланд считается лучшим агентом французского отделения ЦРУ. Его шеф Джон Дорн когда-то учился в Йельском университете, теперь же занимает высокий пост в управлении. Начальство ценит его, хотя знает, что ему давно пора на пенсию. Секрет такого долгожительства состоит в том, что он когда-то во времена студенчества жил вместе в одной комнате студенческого общежития с Генри Шерманом. Сейчас он стал влиятельным политиком и претендует на пост президента США."
След убийства,"Кэри Локк считается лучшим детективом отдела полиции по поиску пропавших без вести. Живёт и работает она в Лос-Анджелесе. Когда-то давно её дочь была похищена, и Кэри до сих пор ведёт собственное расследование этого преступления. Когда после многих лет появилась новая зацепка, детектив решает утроить свои усилия. Теперь она понимает, что у неё есть все шансы найти свою дочь живой и вернуть её домой."
Анна Каренина,"Эту книгу можно назвать книгой о глубокой и противоречивой человеческой душе. С одной стороны, она хочет оставаться светлой, чистой и честной, с другой – она всегда стремится к счастью. И случается довольно часто, что первое вступает в противоречие со вторым."
Братья Карамазовы,"Центральными фигурами романа являются члены одной семьи – братья Карамазовы и отец семейства. Они собираются в монастыре, чтобы разрешить имущественные споры. Глава семьи Федор Павлович, мужчина в возрасте, ведет не вполне благопристойный образ жизни, он развлекается и выпивает. Его финансовое положение позволяет не задумываться о расходах. Однако его дети считают, что отец им что-то должен, хотя сам Федор Павлович имеет другое мнение."
Избранные романы. Компиляция. Книги 1-49,"Роман «Мертвая зона» – это произведение, являющееся типичным для творчества писателя. Его главный герой – Джон Смит. Однажды он столкнулся на льду с другим человеком. В результате мужчина получил сотрясение мозга. После несчастного случая Джона стали преследовать ужасные видения, он стал ясновидящим. Его сверхспособности теперь используются для раскрытия самых безнадёжных преступлений. Помогая людям, попавшим в беду, Смит однажды понимает, что он просто обязан остановить одного политика, всеми силами рвущегося к власти. Ради неё он готов исковеркать жизни миллионов людей, а разрушить его ужасные планы может только Джон Смит."
Отработанный материал,"Человечество давно покинуло Землю, выведя с неё всё производство и превратив планету в заповедник. Космические корабли бороздят космическое пространство в поисках новых миров. Когда во Вселенной произошёл взрыв сверхновой звезды, тысячи авантюристов кинулись к месту взрыва. Здесь они надеются подобрать кусочки звёздного вещества, имеющие большую ценность. Особенность его в том, что это вещество можно использовать в качестве звёздного топлива, позволяющего передвигаться на огромные расстояния."
Антология фантастики и фэнтези-33. Компиляция. Книги 1-18,"Примером циклов романов, включённых в этот сборник, можно назвать цикл «Горец». Его главный герой – студент Тимирязевской сельхозакадемии Савва Кобчик. Он вовсе не желал оказаться в другом мире. Он просто собирал грибы в Подмосковье. Парень нагнулся для того, чтобы срезать гриб, а оказался в непонятной местности в неведомых ему горах. Мало того, его ещё и в армию забрали для того, чтобы отправить на войну! Вот уж этого попаданец точно не ожидал! Этот мир, где всё основано на паре и отсутствуют двигатели внутреннего сгорания, чужд ему. Чужда ему и война, которую ведут местные властители. В любом случае, придётся Савве в этом мире как-то выживать. Сделать ему это будет весьма непросто, ведь по местным меркам он очень неграмотный и необученный солдат. Помочь ему могут только те знания, которые он кое-как приобрёл в нашем мире."
"Дракон вредный, подвид мстительный","Августа живёт в магическом мире и происходит из небогатого, но достаточно знатного рода. Это обстоятельство не позволяет ей надеяться на обучение в Военной академии, где учатся лучшие маги этого мира. Всё изменилось в один миг, когда Августа вместе со своей родственницей одним ранним утром шла по улице и заметила, как из окна одного дома вылез абсолютно голый мужчина. Естественно, что придавать этому какое-то значение, да и просто глазеть на незадачливого любовника, было с её стороны весьма опрометчиво и крайне неучтиво."
Избранные фантастические циклы романов.Компиляция. Книги 1-16,"Открывает его цикл «Десант попаданцев». В нём действие происходит в мире постапокалипсиса. Ядерная война, вспыхнувшая по воле амбициозных политиков, не только уничтожила человеческую цивилизацию, но и выкинула в прошлое множество совершенно разных людей. Единственное, что их связывает, – общение в интернете на одном литературном форуме. Несмотря на разные характеры и жизненный опыт, теперь им вместе придётся выживать в этом новом для них мире. Англичане, испанцы и дикие племена индейцев будут противостоять им. Выжить смогут лишь те, кто противопоставит грубой силе свою силу. Так что служившие в армии здесь будут иметь весьма существенное преимущество перед не служившими."
Охотник Дарт. Тетралогия,"Действие происходит в магическом мире, который совсем недавно пережил череду войн между могущественными магами. Они желали обрести власть и божественную силу. Сейчас же в этой вселенной царит мир и спокойствие, цивилизация медленно восстает из пепла. Люди надеются на покой и процветание. Они хотят жить счастливо и не бояться, что завтрашний день принесет войну и смерть."
Бандит 2,"В нашем мире Петр Синельников служил в спецназе и имел позывной «Синий». Очередная командировка Петра закончилась его гибелью. Высшие силы не дали ему исчезнуть окончательно, и теперь он – шестнадцатилетний парень из племени ворков. Это племя в Империи презирают все её подданные из-за того, что его члены проповедуют пацифизм. Они призывают противопоставить злу непротивление насилию. Сам Петр каким был в нашем мире, таким и остался в новой для него вселенной: он всё также не может закрыть глаза на несправедливость. Когда в имперской столице началась резня, никто даже и подумать не мог, что немощный парнишка-изгой начал уничтожать бандитов – тех, кто всегда правил ночным городом."
Проклятый,"В 2050 году земные учёные создали уникальный портал. Он позволял попасть человеку на планету, которая находится в тысяче световых лет от нашей планеты. Разведывательная группа обнаружила там весьма похожую на земную инопланетную цивилизацию. Её уничтожило неизвестное на Земле оружие массового поражения. Так как портал не мог установить связь с другими планетами, все работы по его изучению были свёрнуты."
Ваше Благородие,"Алексей в наше время был офицером спецназа. Звёзд с неба не хватал, но дело своё знал хорошо. В очередной командировке в горячую точку парень получил смертельное ранение. Возродился он в восемнадцатом веке в теле сына помещика Егорова Алёшки. Тогда ему было пятнадцать лет. Прошло время, и теперь уже бравый вояка Алексей Егоров воюет в Бессарабии и Валахии."
Магистр дьявольского культа,"Вэй Усянь всегда хотел достичь сянь, или бессмертия. Он – Старейшина Илина и когда-то основал Тёмный, или демонический, путь. Во время нападения на Могильные холмы он гибнет от рук бойцов праведных кланов. В результате жертвенного ритуала Вэй Усянь переносится в тело деревенского простака Мо Сюаньюя. Несмотря на то, что сейчас он слаб, как физически, так и магически, Вэй Усянь желает отомстить своим новым родственникам, которые унижают его и издеваются над ним."
Жена на одну ночь. Больше не твоя,"Саша – попаданка из нашего мира в мир магии. Когда-то по недоразумению она попала прямо с хирургического стола в чужое тело в чужом мире. В результате дама стала Алессандрой, супругой Тёмного Князя Дэйрона. Находясь в другом теле, настоящая супруга Князя по собственной воле распорядилась невинностью Саши. Саша же, в свою очередь, стала близка с Дэйроном. В конце концов, недоразумение разрешилось, и дамы вернулись в свои тела и миры."
Внебрачный сын мэра,"Климов Алексей Дмитриевич – крупный московский бизнесмен. Последние годы он возглавлял главный металлургический комбинат России. Сейчас он возглавил один из крупных городов России. Варвара – преподаватель в местном вузе, мать-одиночка. Никто не знает, что её сын Женя рождён от Климова. Алексей когда-то был первой любовью Варвары, и Женька – плод этой любви."
"Кто заплачет, когда ты умрешь?","Книга разделена на 101 главу. В каждой главе дан совет на тему улучшения жизни, повышения уровня ее наполненности. К каждому совету автор прилагает иллюстрацию из своей жизни или из жизни своих знакомых, которая говорит о его полезности. Прочитав труд Робина Шармы, можно полностью переосмыслить свою жизнь, сделать ее осознанной и ответить на вопрос: для чего она вообще дана человеку?"
Берсерк Том второй Охота на охотника,"В этом магическом мире его зовут Эрит Волар. Он барон, сумевший оказать королю несколько очень важных и ценных услуг. Так, например, благодаря Эриту был разоблачён заговор против короля. Заговорщики были схвачены, а жизнь монарха спасена. Теперь попаданец имеет не только титул и награды, но и ещё носит звание личного охранника короля. При этом он не обделён вниманием женщин, очень красивых и родовитых."
Подземелья Конфренко,"В нашем мире его звали Геннадий Максимович Плющ. Там он был полковником, военным пенсионером в отставке. Теперь он – Шмыга, тщедушный паренёк с планеты Фелиция, или же Зелёный Ад. Живёт Шмыга в трущобах Нижнего города столицы планеты. Называется она Конфренко. Шмыга находится на самом дне здешнего общества. Попав в его тело, Плющ берётся за него и за короткий срок становится на ступеньку выше, принимая имя Ген Ма."
Английский детектив. Лучшее,"В сборнике представлены произведения различных жанров, начиная от классической новеллы и заканчивая криминальным триллером. В любом случае, их роднит наличие в них загадки, при этом, если в новелле это может быть одна головоломка, то в триллере можно ждать несколько неожиданных поворотов сюжета. Авторы этой книги постарались отобрать для нее самые лучшие детективы, написанные в Англии, поэтому ее читатель скучать не будет. "
"Циклы ""Приграничье""-""Небесный эфир"". Компиляция. Книги 1-17","Приграничье – это тот мир, в котором царит холод и стужа. Солнце здесь практически не греет, и увидеть его можно всего несколько месяцев году. При этом в Приграничье опасность подстерегает путешественников на каждом углу, и не только люди тому виной. Каждый новый житель этого мира должен заявить о себе, иначе он просто не выживет здесь. Постоянная конкуренция и борьба за выживание – вот основной смысл жизни в Приграничье."
Усадьба.,"Лидия живёт и учится в Смольном институте, в Санкт-Петербурге. Она входит в число самых лучших его воспитанниц. Однако девушка глубоко несчастна. Причина этого в том, что она практически ничего не знает о себе. Кто она, из какого рода, кем были её родители? На все эти вопросы у Лидии нет ответа. Она знает лишь то, что родилась во Франции и её привезли в Россию ещё ребёнком."
Фантастические циклы романов. Компиляция. Книги 1-11,"В сборник вошло два цикла фантастических романов. Первый из них называется «Достойны ли мы отцов и дедов». Он посвящён жизни человечества после планетарной катастрофы. В 2012 году современная цивилизация была уничтожена. От человечества остались лишь разрозненные группы людей, укрывающиеся от опасностей в бункерах. Постоянно жить на поверхности Земли им нельзя, ведь она заражена. Главный герой цикла стал обладателем сверхсекретных документов. Они дают возможность создать временной портал в 1941 год. Перед группой выживших землян встаёт выбор: постепенно вымирать, прячась от ядерного заражения в бункерах, или же отправиться в прошлое и при помощи современных технологий предотвратить атомный Апокалипсис."
Потерянный. Трилогия,"Главного героя зовут Олег. Когда-то он жил в нашем времени и был фанатом компьютерных игр. Теперь он умер. Как и где это произошло, он не помнит, ведь теперь парень находится в Эвриворлде. В эту игру играют сотни тысяч человек, а искусственные интеллекты, которые созданы на основе мозга живого человека –добровольца, делают эту игру практически полностью реальной. Об этом Олегу рассказала девушка со странным именем Скрилла. Ее он встретил первой в новом для себя мире."
Свалка,"Алекс Крафт родился сиротой на безымянной планете, ведь его мать умерла при родах. Живёт он один, и воспитывает его андроид Рон. В надежде покинуть эту планету Алекс ищет залежи теленита, о которых перед смертью рассказал Рону его отец. Однажды на неё опускается челнок звездолёта, и вместе с ним парень покидает ту планету, которая стала ему родной. С этого момента начинаются приключения Алекса в космосе."
Фантастические циклы. Компиляция.Книги 1-14,"В сборнике «Фантастические циклы. Компиляция. Книги 1-14» можно найти несколько вариантов фантастических миров, каждый из которых по-своему прекрасен и интересен. Они совсем непохожи друг на друга. В некоторых всё решается при помощи голой техники и науки. В других же царствует магия. Здесь некоторые из разумных обладают возможностью при помощи воли влиять на окружающую реальность. Горы гномов, леса эльфов, зоны радиации, в которых происходит нечто невероятное – всё это можно найти в данном сборнике."
